1,0.000007,0.000005,0.000000
2,0.000010,0.000009,0.000000
7,0.000026,0.000031,0.000000
0,0.000007,0.000005,0.000000
5,0.000016,0.000015,0.000000
12,0.000105,0.000105,0.000000
25,0.006366,0.006370,0.000000
30,0.117509,0.117478,0.000000
49,125.163893,125.163691,0.000000
0,0.000002,0.000001,0.000000
1,0.000003,0.000003,0.000000
2,0.000007,0.000006,0.000000
7,0.000016,0.000015,0.000000
0,0.000005,0.000005,0.000000
5,0.000007,0.000006,0.000000
12,0.000071,0.000071,0.000000
25,0.004350,0.004351,0.000000
30,0.114111,0.114114,0.000000
49,120.893339,120.893272,0.000000
49,125.124476,125.111969,0.010000
0,0.000002,0.000001,0.000000
1,0.000007,0.000005,0.000000
2,0.000007,0.000006,0.000000
7,0.000017,0.000016,0.000000
0,0.000008,0.000000,0.000007
5,0.000017,0.000000,0.000017
12,0.000141,0.000000,0.000140
25,0.006627,0.000000,0.006630
30,0.109428,0.108817,0.000616
49,122.604517,122.604353,0.000000
